epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1455.61,1.18824,3.85511,1.50153,0.20722,0.32456,0.20975,0.15529,0.97777,4.65874,1.27531,0.000233333,0.000233333,0.000233333
2,2312.52,1.06513,1.97383,1.34329,0.3363,0.69034,0.516,0.33789,1.23054,2.61235,1.69171,0.000462001,0.000462001,0.000462001
3,3167.34,1.07196,1.65067,1.32199,0.31513,0.43994,0.42775,0.23701,1.3014,2.90761,1.5982,0.000681244,0.000681244,0.000681244
4,4019.27,1.03611,1.50363,1.29927,0.63682,0.3424,0.47936,0.30761,1.35212,2.10762,1.6186,0.000671588,0.000671588,0.000671588
5,4876.76,1.05496,1.50997,1.31327,0.50203,0.34403,0.39224,0.2938,1.1144,2.26,1.45582,0.000657451,0.000657451,0.000657451
6,5753.99,1.00911,1.37463,1.26745,0.54801,0.58255,0.65532,0.46574,0.99717,1.59974,1.28237,0.000643314,0.000643314,0.000643314
7,6612.01,0.9873,1.22261,1.25679,0.45342,0.61613,0.54062,0.389,1.09638,1.77021,1.38471,0.000629177,0.000629177,0.000629177
8,7476.89,0.9726,1.23814,1.25013,0.59979,0.58225,0.6284,0.46794,1.01012,1.6111,1.32666,0.00061504,0.00061504,0.00061504
9,8347.46,0.95052,1.17394,1.23026,0.56148,0.5304,0.60393,0.45584,1.0398,1.49739,1.33242,0.000600902,0.000600902,0.000600902
10,9266.77,0.8831,1.01666,1.17983,0.6,0.46065,0.57421,0.42165,0.98741,1.64936,1.27941,0.000586765,0.000586765,0.000586765
11,10166.5,0.89023,1.02405,1.20149,0.40594,0.68882,0.63335,0.47999,1.02292,1.31809,1.34734,0.000572628,0.000572628,0.000572628
