epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9717,1.21493,3.87759,1.37185,0.00611,0.9573,0.17899,0.13042,0.92768,3.62341,0.94779,0.000232195,0.000232195,0.000232195
2,61.755,1.08525,3.25115,1.22583,0.57351,0.18683,0.26426,0.18569,1.00518,3.00021,1.09468,0.000460885,0.000460885,0.000460885
3,90.236,1.12175,2.59364,1.2604,0.40847,0.48467,0.32999,0.2399,1.03982,2.54315,1.1339,0.000680151,0.000680151,0.000680151
4,118.077,1.12272,2.12655,1.23647,0.45031,0.40923,0.36718,0.24934,1.12083,2.79779,1.15775,0.000671588,0.000671588,0.000671588
5,145.948,1.04639,1.87735,1.1916,0.55025,0.47958,0.48393,0.3451,1.01042,1.85952,1.0913,0.000657451,0.000657451,0.000657451
6,173.721,1.00775,1.68208,1.15925,0.58204,0.58746,0.61372,0.43747,0.97825,1.91277,1.12026,0.000643314,0.000643314,0.000643314
7,201.475,0.98515,1.60442,1.15596,0.40387,0.67449,0.60097,0.45521,0.92553,1.74104,1.04564,0.000629177,0.000629177,0.000629177
8,229.015,0.96857,1.51012,1.13546,0.45689,0.73192,0.6664,0.5039,0.93331,1.50931,1.02433,0.00061504,0.00061504,0.00061504
9,256.785,0.93119,1.41912,1.12623,0.47041,0.72882,0.66377,0.49413,0.92188,1.52764,1.00941,0.000600902,0.000600902,0.000600902
10,284.639,0.92878,1.33501,1.11538,0.51097,0.69021,0.69095,0.51337,0.92678,1.49364,1.0442,0.000586765,0.000586765,0.000586765
11,321.542,0.8997,1.28188,1.09767,0.75161,0.62556,0.73903,0.55382,0.94274,1.35735,1.04814,0.000572628,0.000572628,0.000572628
12,356.292,0.89336,1.29559,1.11121,0.6455,0.66548,0.69138,0.50372,0.88586,1.33176,1.01709,0.000558491,0.000558491,0.000558491
13,387.622,0.87309,1.22939,1.09833,0.51714,0.71229,0.7421,0.55814,0.93294,1.32626,1.10732,0.000544354,0.000544354,0.000544354
14,418.636,0.85175,1.15127,1.08003,0.83929,0.62892,0.72123,0.5498,0.86694,1.30686,1.03481,0.000530216,0.000530216,0.000530216
